,temperature,humidity,weather_description
444,30.6,70,Scattered clouds
445,30.8,74,Broken clouds
446,31.0,79,Overcast clouds
447,31.0,77,Overcast clouds
448,31.0,74,Overcast clouds
449,30.5,76,Overcast clouds
450,30.0,79,Overcast clouds
451,30.0,79,Overcast clouds
452,30.0,79,Overcast clouds
453,29.5,81,Overcast clouds
454,29.0,83,Overcast clouds
455,29.0,81,Broken clouds
456,29.0,79,Scattered clouds
457,28.5,81,Broken clouds
458,28.0,83,Overcast clouds
459,28.0,83,Overcast clouds
460,28.0,83,Overcast clouds
461,28.0,83,Overcast clouds
462,28.0,83,Overcast clouds
463,27.5,86,Overcast clouds
464,27.0,88,Overcast clouds
465,27.5,86,Light rain
466,28.0,83,Light rain
467,27.5,85,Light rain
468,27.0,87,Light rain
469,27.5,85,Light rain
470,28.0,83,Overcast clouds
471,28.0,83,Overcast clouds
472,28.0,83,Overcast clouds
473,28.0,83,Overcast clouds
474,28.0,83,Overcast clouds
475,27.5,86,Overcast clouds
476,27.0,88,Overcast clouds
477,27.0,88,Overcast clouds
478,27.0,88,Overcast clouds
479,26.6,90,Broken clouds
480,26.2,92,Haze
481,26.1,90,Broken clouds
482,26.0,88,Overcast clouds
483,26.0,88,Overcast clouds
484,26.0,88,Overcast clouds
485,26.0,88,Overcast clouds
486,26.0,88,Overcast clouds
487,26.0,88,Overcast clouds
488,26.0,88,Overcast clouds
489,26.0,91,Overcast clouds
490,26.0,94,Overcast clouds
491,26.0,93,Broken clouds
492,26.0,93,Haze
493,26.0,93,Haze
494,26.0,94,Overcast clouds
495,26.0,91,Light rain
496,26.0,88,Light rain
497,26.0,88,Light rain
498,26.0,88,Light rain
499,26.0,88,Overcast clouds
500,26.0,88,Overcast clouds
501,26.0,88,Light rain
502,26.0,88,Light rain
503,26.0,90,Light rain
504,26.0,92,Light rain
505,26.0,90,Light rain
506,26.0,88,Light rain
507,26.0,88,Light rain
508,26.0,88,Haze
509,26.0,91,Haze
510,26.0,94,Haze
511,26.5,91,Haze
512,27.0,88,Haze
513,27.0,91,Haze
514,27.0,94,Haze
515,27.9,88,Broken clouds
516,28.8,83,Overcast clouds
517,28.9,86,Broken clouds
518,29.0,88,Broken clouds
519,29.5,86,Broken clouds
520,30.0,84,Broken clouds
521,30.0,84,Light rain
522,30.0,84,Light rain
523,30.0,84,Light rain
524,30.0,84,Light rain
525,30.0,84,Light rain
526,30.0,84,Light rain
527,30.1,79,Overcast clouds
528,30.2,75,Overcast clouds
529,30.1,79,Light rain
530,30.0,84,Light rain
531,30.0,84,Light rain
532,30.0,84,Light rain
533,30.5,81,Light rain
534,31.0,79,Light rain
535,30.5,79,Light rain
536,30.0,79,Light rain
537,29.0,81,Light rain
538,28.0,83,Light rain
539,29.0,79,Light rain
540,30.0,75,Light rain
541,29.5,79,Light rain
542,29.0,83,Light rain
543,29.5,83,Light rain
544,30.0,84,Light rain
545,29.5,83,Light rain
546,29.0,83,Light rain
547,28.5,83,Light rain
548,28.0,83,Haze
549,28.5,83,Haze
550,29.0,83,Haze
551,28.8,82,Haze
552,28.6,80,Haze
553,28.3,82,Haze
554,28.0,83,Broken clouds
555,28.0,83,Broken clouds
556,28.0,83,Broken clouds
557,28.0,83,Broken clouds
558,28.0,83,Broken clouds
559,28.0,86,Broken clouds
560,28.0,88,Broken clouds
561,28.0,88,Broken clouds
562,28.0,88,Overcast clouds
563,28.0,86,Broken clouds
564,28.0,84,Scattered clouds
565,28.0,86,Broken clouds
566,28.0,88,Overcast clouds
567,28.0,88,Overcast clouds
568,28.0,88,Overcast clouds
569,28.0,86,Broken clouds
570,28.0,83,Broken clouds
571,28.0,83,Broken clouds
572,28.0,83,Broken clouds
573,28.0,83,Broken clouds
574,28.0,83,Light rain
575,27.5,87,Light rain
576,27.0,90,Light rain
577,27.0,89,Light rain
578,27.0,88,Light rain
579,27.0,88,Light rain
580,27.0,88,Broken clouds
581,27.0,88,Broken clouds
582,27.0,88,Broken clouds
583,27.0,88,Broken clouds
584,27.0,88,Broken clouds
585,27.0,88,Broken clouds
586,27.0,88,Broken clouds
587,26.7,89,Broken clouds
588,26.4,90,Scattered clouds
589,26.2,92,Broken clouds
590,26.0,94,Haze
591,26.0,94,Broken clouds
592,26.0,94,Broken clouds
593,26.0,94,Broken clouds
594,26.0,94,Light rain
595,26.0,94,Light rain
596,26.0,94,Light rain
597,26.0,94,Light rain
598,26.0,94,Moderate rain
599,26.0,88,Moderate rain
600,26.0,88,Moderate rain
601,26.0,88,Moderate rain
602,26.0,88,Moderate rain
603,26.0,94,Moderate rain
604,26.0,94,Light rain
605,26.0,94,Light rain
606,26.0,94,Light rain
607,26.0,94,Light rain
608,26.0,94,Light rain
609,26.0,88,Overcast clouds
610,26.0,88,Overcast clouds
611,26.0,88,Overcast clouds
612,26.0,94,Overcast clouds
613,27.0,88,Overcast clouds
614,27.0,88,Overcast clouds
615,27.0,88,Overcast clouds
616,27.0,88,Overcast clouds
617,27.0,88,Overcast clouds
618,27.0,88,Overcast clouds
619,28.0,88,Overcast clouds
620,28.0,88,Overcast clouds
621,28.0,88,Light rain
622,29.0,83,Light rain
623,29.0,83,Overcast clouds
624,30.0,83,Overcast clouds
625,30.0,83,Light rain
626,30.0,83,Light rain
627,30.0,83,Light rain
628,29.0,83,Light rain
629,28.0,83,Light rain
